id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
046bc2e7-6301-4b47-a437-d4934d944c23,lady.baby,resell,,,82,18,4,"Spaceship, Inc.",23/05/2025 06:28,23/05/2026 23:59
1d9d988a-ac3b-4f2e-a550-f8b7d3cfc6bc,lens.baby,resell,,,62,69,4,"Spaceship, Inc.",17/02/2026 14:15,17/02/2027 23:59
31664d2f-9fe4-463b-880e-aa72c8beab73,jazz.baby,resell,,,72,28,4,"Spaceship, Inc.",17/02/2026 14:15,17/02/2027 23:59
5215cc7e-ae2f-455f-877c-42134f80a170,zone.baby,resell,,,76,31,4,"Spaceship, Inc.",11/05/2025 01:04,11/05/2026 23:59
88f264ad-0561-4619-bef6-3860405b9111,people.baby,resell,,,86,41,6,Dynadot LLC,09/07/2025 16:54,09/07/2026 23:59
e0974cef-6e6d-4154-b64e-b9fbad41d2a6,cheap.baby,resell,,,70,30,5,"Spaceship, Inc.",29/05/2025 17:24,29/05/2026 23:59
1842003a-5249-4841-a7e0-9952e0730130,modeler.baby,premium,,,74,6,7,,,
a9aa3e1f-caca-433d-bcd9-0a17e7614e44,gelpen.baby,premium,,,82,1,7,,,
9ab5317e-03de-4f47-98b9-e0c4790c381b,almost.baby,available,29.99,,84,19,6,name.com,,
8520846e-49c6-4505-bb5f-6df7c846b740,earlyadopter.baby,premium,,,70,2,13,,,
b64bd31a-3d7f-400c-a90c-fbec0ab16038,computerlanguage.baby,premium,,,78,1,17,,,
ccf39409-ebca-4ae0-8f56-9aff70dda02d,bass.baby,premium,,,64,27,4,,,
b1fae6af-d4c7-4261-b1d8-d79ade8a8752,noquarter.baby,premium,,,,5,10,,,
b9bc0d47-499f-40d0-9e54-d0eeb1cdd9f3,ser.baby,premium,,,76,19,3,,,
85dcbbc2-2536-45d5-8bb6-c4e44d4d61dd,wound.baby,available,29.99,,70,14,5,name.com,,
b1bb428c-c758-4d04-8f13-c56b122c33b8,avellane.baby,premium,,,66,1,8,,,
8519c318-33b9-4f5a-985e-22fcc1a1f734,throwabout.baby,premium,,,,1,11,,,
0594cd0d-9943-407a-8995-0b4bcb4f3dd2,pizzeria.baby,premium,,,82,9,8,,,
98366c52-833e-4aab-863e-5a3a7fbde5d2,adulterine.baby,premium,,,68,1,10,,,
47d0e113-8d96-4412-9f91-b967c6cefa30,had.baby,premium,,,70,12,3,,,
ffd6d737-63c0-4435-b96b-3287129a2df8,accurate.baby,available,29.99,94.99,78,20,8,name.com,,
67e9e6e8-1ddb-4548-b21b-2ba4e3e2117b,busted.baby,premium,,,56,13,6,,,
4f9399b7-1e40-4215-bafe-819541da5acc,beaked.baby,premium,,,58,2,6,,,
b0a10d53-61d0-4b6c-816a-28de4bb4cf80,borne.baby,premium,,,66,8,5,,,
0d333040-6db3-4a86-85ee-7f330ca5d6a6,concrete.baby,available,81.98,,102,32,8,namecheap,,
ffaf52c6-fa2a-4962-982d-464cf18cd69f,whiteboard.baby,premium,,,88,19,10,,,
f5821f41-2135-4fc7-9352-c74a328b1ac1,awfulness.baby,premium,,,60,1,9,,,
f983abd2-390f-4466-8397-515a92e33831,eating.baby,premium,,,92,15,6,,,
334df1a4-1175-484b-9df9-ce7b7d4728fa,luggage.baby,premium,,,74,13,7,,,
a3920027-8d4d-4828-9c4a-233257a4669a,exec.baby,premium,,,91,27,4,,,
1f37d911-8fb2-4c93-89c2-f4bffb4bbf51,brain.baby,resell,,,72,49,5,Dynadot LLC,28/01/2026 15:13,28/01/2027 23:59
81568eb9-b921-48d5-a5ae-2559e7d7ae26,terrified.baby,premium,,,50,3,9,,,
b7ac2e93-48ed-479b-9ecc-08da74bad802,aswell.baby,premium,,,72,5,7,,,
9b61c810-348c-42de-889f-effbcb01f5cc,arborous.baby,premium,,,52,1,8,,,
b70286a0-1252-40cf-b70a-ec50dcd940fa,fortynine.baby,premium,,,56,3,10,,,
f20b45ec-9ead-4836-af88-d7098dd601ed,aspirer.baby,premium,,,52,3,7,,,
1738cefb-6e7a-4960-99e2-a81ca61aeb6f,company.baby,resell,,,98,32,7,"Xiamen ChinaSource Internet Service Co., Ltd",06/11/2025 15:17,06/11/2026 23:59
b62addf5-c3aa-4cb3-9653-e850725d3d1b,bland.baby,premium,,,54,12,5,,,
6ac7705f-1ed9-4092-8fdb-855bceedf8e8,firetruck.baby,premium,,,90,5,10,,,
739b92d0-7e20-41fe-988c-43dad637a3f8,unbeatable.baby,premium,,,93,9,10,,,
c4746127-41fa-4f4a-af98-08f47385ddce,priceless.baby,premium,,,75,65,9,,,
b35f92fc-95d8-4965-8c1f-f12578489ae4,banging.baby,premium,,,60,3,7,,,
15577ad3-3d1a-46a5-968a-151c453ebb56,asyetunknown.baby,premium,,,58,1,14,,,
fa12cd42-308d-4005-b28e-cbe2140ee046,rightnow.baby,premium,,,,14,9,,,
abade6e8-7aed-454a-9235-3723fc49f507,spiritual.baby,available,81.98,,62,24,9,namecheap,,
ef0fbde5-3712-4c92-849e-65e9128f1598,NewGuinea.baby,premium,,,,2,10,,,
0981ca8f-3e08-4fc7-ae0c-cb6c5e58150f,germicide.baby,premium,,,60,1,9,,,
b3dbd2be-ab3e-40bd-adf1-9fd5285a5909,seagull.baby,premium,,,74,14,7,,,
94e4e05e-d53c-4e3b-9a9c-7bbc654471ff,thisone.baby,premium,,,,9,8,,,
3d93b826-9ba8-4cc5-83c8-fe598fe9e14e,amative.baby,premium,,,60,2,7,,,
1b480891-dbd3-4b5f-915e-d2a4176787d3,pancreas.baby,premium,,,60,8,8,,,
1f0ecd9f-4c98-413f-b2a4-b4237000aa37,owned.baby,premium,,,72,16,5,,,
aa43a07c-a7a9-4086-b790-2cf7a8c3168d,organ.baby,premium,,,70,12,5,,,
c2cd62c4-22b5-440a-8449-3fbed16da5dd,stone.baby,resell,,,62,31,5,"Spaceship, Inc.",27/05/2025 17:16,27/05/2026 23:59
a4757175-4df3-4d85-af7d-b4e89d8b6cf1,xiv.baby,available,29.99,94.99,86,15,3,name.com,,
bbcd8970-2b65-48a2-b79b-016b47df20dd,abenaki.baby,available,29.99,94.99,82,3,7,name.com,,
518a4b30-8c69-4647-b278-7de226491e77,well.baby,resell,,,74,33,4,Dynadot LLC,02/07/2025 01:30,02/07/2026 23:59
477d2dd1-6cf7-4f32-b043-27075c7e1159,wanting.baby,premium,,,84,7,7,,,
41d8f58f-87f7-4f42-b84b-64cd97c94b4b,palliative.baby,premium,,,84,6,10,,,
dcc3e64a-f102-4d2c-bf27-7d5618540821,traveler.baby,premium,,,68,20,8,,,
db8b6887-a169-4c89-941c-ab664ebdfeca,goodandproper.baby,premium,,,66,3,15,,,
46039e6d-d763-4a20-93f6-e12f30620356,abstinent.baby,premium,,,66,1,9,,,
5ceadbfc-c1b1-42d7-aa61-70e84d17779f,frustrate.baby,available,29.99,94.99,74,3,9,name.com,,
6974e7e0-0cc1-4836-8c35-8bb397023ce1,marktwain.baby,premium,,,82,6,10,,,
1d208fde-2297-4cfc-8c55-0e9c12ee1491,investments.baby,resell,,,56,15,11,"Go Daddy, LLC",29/05/2025 15:46,29/05/2026 23:59
808ba6a5-b011-4fee-9592-d9c0f73205bd,sufferable.baby,premium,,,48,1,10,,,
f6e48291-37b1-4686-839d-a20840233081,ofcourse.baby,premium,,,66,10,9,,,
1dfdbed9-936a-4cb3-bec1-0fa4c7197878,memorise.baby,premium,,,80,6,8,,,
5518b637-59dc-4d92-8889-f3b117342f37,retiring.baby,premium,,,73,5,8,,,
f1f4dc09-5bed-476b-aa93-ba7534a0243e,assumptive.baby,premium,,,44,1,10,,,
97d022a6-aa09-4f6f-8f13-57eb78859279,committing.baby,premium,,,64,1,10,,,
5990e1c2-fb8c-4f86-b8b2-58dd04f945ce,hindsight.baby,premium,,,68,16,9,,,
95cf1915-f771-480a-aa43-cd830b435d57,heads.baby,premium,,,70,13,5,,,
32a9d0f0-4f68-4add-9e36-74161d93ccdc,deflation.baby,premium,,,60,5,9,,,
8088adad-f3fc-4451-9113-eadf1eee4e12,fork.baby,premium,,,94,24,4,,,
cc523d1d-b0d4-46be-b5cc-aa70de68f90d,descend.baby,premium,,,94,5,7,,,
698c0a37-f496-4198-9090-f7a660a910f6,aldente.baby,premium,,,62,9,8,,,
a89404a2-e4b8-4027-8555-0fb9b0affa7a,bared.baby,premium,,,54,3,5,,,
5fe7f116-652f-420a-88cc-4477d660f51d,pimply.baby,premium,,,41,1,6,,,
5efdca17-1114-4a41-860b-0d255c7a9594,appositive.baby,premium,,,63,1,10,,,
b9c3061c-0f69-4cb3-9131-9e3b78c6e441,baroque.baby,premium,,,64,9,7,,,
be14762e-b146-4d53-b78a-ab051ce2c34a,but.baby,resell,,,70,20,3,"Spaceship, Inc.",19/02/2026 23:11,19/02/2027 23:59
6652c0dd-066a-41ed-8850-36ba6b839271,accentual.baby,premium,,,54,2,9,,,
ff5ecbb7-3ef5-48f9-9ff3-1d596ae09dd2,luxury.baby,premium,,,98,36,6,,,
4d42e4e4-b6ae-4660-9774-5ff5641aa619,afflicted.baby,premium,,,54,3,9,,,
3029c6a9-44e7-453d-8a3d-14781b08ab71,beatenup.baby,premium,,,44,1,9,,,
37e4be7c-69f9-46bb-81f2-0aa7bbaddd2a,sheraton.baby,premium,,,52,84,8,,,
965ad1c8-40a0-4da2-bf1d-29636d655a2f,dishup.baby,premium,,,78,4,7,,,
164def39-d152-40a5-add2-7d61e4d4f3ce,cometoahead.baby,premium,,,66,1,14,,,
209eb5d7-3b4c-4c6a-b4d8-eb82d5b7242a,bud.baby,resell,,,70,25,3,Dynadot LLC,03/02/2026 09:00,03/02/2027 23:59
c52b6d88-f5d8-48b1-adc8-b22193355c9b,behaviouralscience.baby,premium,,,70,3,19,,,
